  0%|                                                                              | 0/940 [00:00<?, ?it/s]/home/ubuntu/ejpark/embed_train/lib/python3.10/site-packages/transformers/tokenization_utils_base.py:2906: UserWarning: `max_length` is ignored when `padding`=`True` and there is no truncation strategy. To pad to max length, use `padding='max_length'`.
  warnings.warn(
Could not estimate the number of tokens of the input, floating-point operations will not be computed
                                                                                                           
{'loss': 0.0122, 'grad_norm': 3.002579689025879, 'learning_rate': 9.511904761904763e-06, 'epoch': 0.75}
{'loss': 0.0076, 'grad_norm': 1.7588887214660645, 'learning_rate': 9.5e-06, 'epoch': 0.76}
{'loss': 0.0048, 'grad_norm': 0.8536372184753418, 'learning_rate': 9.488095238095238e-06, 'epoch': 0.76}
{'loss': 0.0055, 'grad_norm': 1.268984079360962, 'learning_rate': 9.476190476190476e-06, 'epoch': 0.77}
{'loss': 0.0201, 'grad_norm': 7.491728782653809, 'learning_rate': 9.464285714285714e-06, 'epoch': 0.77}
{'loss': 0.0032, 'grad_norm': 0.6252221465110779, 'learning_rate': 9.452380952380952e-06, 'epoch': 0.78}
{'loss': 0.0073, 'grad_norm': 1.7710988521575928, 'learning_rate': 9.440476190476192e-06, 'epoch': 0.78}
{'loss': 0.0038, 'grad_norm': 0.6654418110847473, 'learning_rate': 9.42857142857143e-06, 'epoch': 0.79}
{'loss': 0.0018, 'grad_norm': 0.31648051738739014, 'learning_rate': 9.416666666666667e-06, 'epoch': 0.79}
{'loss': 0.0016, 'grad_norm': 0.2940850257873535, 'learning_rate': 9.404761904761905e-06, 'epoch': 0.8}
{'loss': 0.0442, 'grad_norm': 7.397199630737305, 'learning_rate': 9.392857142857143e-06, 'epoch': 0.8}
{'loss': 0.0285, 'grad_norm': 7.9703369140625, 'learning_rate': 9.380952380952381e-06, 'epoch': 0.81}
{'loss': 0.0012, 'grad_norm': 0.41111624240875244, 'learning_rate': 9.36904761904762e-06, 'epoch': 0.81}
{'loss': 0.011, 'grad_norm': 3.8264026641845703, 'learning_rate': 9.357142857142859e-06, 'epoch': 0.82}
{'loss': 0.0035, 'grad_norm': 0.9546113014221191, 'learning_rate': 9.345238095238096e-06, 'epoch': 0.82}
{'loss': 0.0176, 'grad_norm': 3.404320478439331, 'learning_rate': 9.333333333333334e-06, 'epoch': 0.83}
{'loss': 0.0024, 'grad_norm': 0.45989352464675903, 'learning_rate': 9.321428571428572e-06, 'epoch': 0.84}
{'loss': 0.05, 'grad_norm': 8.903410911560059, 'learning_rate': 9.30952380952381e-06, 'epoch': 0.84}
{'loss': 0.0172, 'grad_norm': 4.971053600311279, 'learning_rate': 9.297619047619048e-06, 'epoch': 0.85}
{'loss': 0.0215, 'grad_norm': 4.9563984870910645, 'learning_rate': 9.285714285714288e-06, 'epoch': 0.85}
{'loss': 0.0346, 'grad_norm': 6.887925148010254, 'learning_rate': 9.273809523809525e-06, 'epoch': 0.86}
{'loss': 0.0019, 'grad_norm': 0.46954110264778137, 'learning_rate': 9.261904761904763e-06, 'epoch': 0.86}
{'loss': 0.0047, 'grad_norm': 1.6225488185882568, 'learning_rate': 9.250000000000001e-06, 'epoch': 0.87}
{'loss': 0.0245, 'grad_norm': 6.583354949951172, 'learning_rate': 9.238095238095239e-06, 'epoch': 0.87}
{'loss': 0.1477, 'grad_norm': 10.383471488952637, 'learning_rate': 9.226190476190477e-06, 'epoch': 0.88}
{'loss': 0.003, 'grad_norm': 0.741464376449585, 'learning_rate': 9.214285714285715e-06, 'epoch': 0.88}
{'loss': 0.0027, 'grad_norm': 0.5605911016464233, 'learning_rate': 9.202380952380953e-06, 'epoch': 0.89}
{'loss': 0.0004, 'grad_norm': 0.09228122234344482, 'learning_rate': 9.19047619047619e-06, 'epoch': 0.89}
{'loss': 0.0014, 'grad_norm': 0.23452022671699524, 'learning_rate': 9.178571428571429e-06, 'epoch': 0.9}
{'loss': 0.0012, 'grad_norm': 0.36177271604537964, 'learning_rate': 9.166666666666666e-06, 'epoch': 0.9}
{'loss': 0.0018, 'grad_norm': 0.4189165234565735, 'learning_rate': 9.154761904761906e-06, 'epoch': 0.91}
{'loss': 0.0116, 'grad_norm': 2.798380136489868, 'learning_rate': 9.142857142857144e-06, 'epoch': 0.91}
{'loss': 0.0063, 'grad_norm': 1.6068888902664185, 'learning_rate': 9.130952380952382e-06, 'epoch': 0.92}
{'loss': 0.0015, 'grad_norm': 0.29975172877311707, 'learning_rate': 9.11904761904762e-06, 'epoch': 0.93}
{'loss': 0.0165, 'grad_norm': 4.7406325340271, 'learning_rate': 9.107142857142858e-06, 'epoch': 0.93}
{'loss': 0.0151, 'grad_norm': 3.9445979595184326, 'learning_rate': 9.095238095238095e-06, 'epoch': 0.94}
{'loss': 0.0034, 'grad_norm': 0.7509458661079407, 'learning_rate': 9.083333333333333e-06, 'epoch': 0.94}
{'loss': 0.01, 'grad_norm': 2.4869072437286377, 'learning_rate': 9.071428571428573e-06, 'epoch': 0.95}
{'loss': 0.003, 'grad_norm': 0.7484120726585388, 'learning_rate': 9.05952380952381e-06, 'epoch': 0.95}
{'loss': 0.0104, 'grad_norm': 4.403786659240723, 'learning_rate': 9.047619047619049e-06, 'epoch': 0.96}
{'loss': 0.0019, 'grad_norm': 0.39188697934150696, 'learning_rate': 9.035714285714287e-06, 'epoch': 0.96}
{'loss': 0.0012, 'grad_norm': 0.28362658619880676, 'learning_rate': 9.023809523809524e-06, 'epoch': 0.97}
{'loss': 0.0044, 'grad_norm': 1.107630968093872, 'learning_rate': 9.011904761904762e-06, 'epoch': 0.97}
{'loss': 0.0068, 'grad_norm': 2.2051258087158203, 'learning_rate': 9e-06, 'epoch': 0.98}
{'loss': 0.0038, 'grad_norm': 1.0467547178268433, 'learning_rate': 8.98809523809524e-06, 'epoch': 0.98}
{'loss': 0.0035, 'grad_norm': 1.2581368684768677, 'learning_rate': 8.976190476190478e-06, 'epoch': 0.99}
{'loss': 0.006, 'grad_norm': 1.87014901638031, 'learning_rate': 8.964285714285716e-06, 'epoch': 0.99}
{'loss': 0.0008, 'grad_norm': 0.22792649269104004, 'learning_rate': 8.952380952380953e-06, 'epoch': 1.0}
{'loss': 0.0001, 'grad_norm': 0.028756525367498398, 'learning_rate': 8.940476190476191e-06, 'epoch': 1.01}
{'loss': 0.0012, 'grad_norm': 0.4594981074333191, 'learning_rate': 8.92857142857143e-06, 'epoch': 1.01}
{'loss': 0.0003, 'grad_norm': 0.06843524426221848, 'learning_rate': 8.916666666666667e-06, 'epoch': 1.02}
{'loss': 0.0016, 'grad_norm': 0.33452242612838745, 'learning_rate': 8.904761904761905e-06, 'epoch': 1.02}
{'loss': 0.0007, 'grad_norm': 0.16002081334590912, 'learning_rate': 8.892857142857143e-06, 'epoch': 1.03}
{'loss': 0.0049, 'grad_norm': 1.837214469909668, 'learning_rate': 8.88095238095238e-06, 'epoch': 1.03}
{'loss': 0.0005, 'grad_norm': 0.06331740319728851, 'learning_rate': 8.869047619047619e-06, 'epoch': 1.04}
{'loss': 0.012, 'grad_norm': 11.067839622497559, 'learning_rate': 8.857142857142858e-06, 'epoch': 1.04}
{'loss': 0.0007, 'grad_norm': 0.13934007287025452, 'learning_rate': 8.845238095238096e-06, 'epoch': 1.05}
{'loss': 0.0003, 'grad_norm': 0.05779993534088135, 'learning_rate': 8.833333333333334e-06, 'epoch': 1.05}
{'loss': 0.0039, 'grad_norm': 0.9610685706138611, 'learning_rate': 8.821428571428572e-06, 'epoch': 1.06}
{'loss': 0.0005, 'grad_norm': 0.16486208140850067, 'learning_rate': 8.80952380952381e-06, 'epoch': 1.06}
  warnings.warn(
                                                                                                           
{'loss': 0.0035, 'grad_norm': 1.7091248035430908, 'learning_rate': 8.797619047619048e-06, 'epoch': 1.07}
{'loss': 0.0286, 'grad_norm': 8.489570617675781, 'learning_rate': 8.785714285714286e-06, 'epoch': 1.07}
{'loss': 0.001, 'grad_norm': 0.19680270552635193, 'learning_rate': 8.773809523809525e-06, 'epoch': 1.08}
{'loss': 0.0019, 'grad_norm': 1.7925732135772705, 'learning_rate': 8.761904761904763e-06, 'epoch': 1.09}
{'loss': 0.0019, 'grad_norm': 0.7547720074653625, 'learning_rate': 8.750000000000001e-06, 'epoch': 1.09}
{'loss': 0.0043, 'grad_norm': 1.029668927192688, 'learning_rate': 8.738095238095239e-06, 'epoch': 1.1}
{'loss': 0.0011, 'grad_norm': 0.19378513097763062, 'learning_rate': 8.726190476190477e-06, 'epoch': 1.1}
{'loss': 0.001, 'grad_norm': 0.18619278073310852, 'learning_rate': 8.714285714285715e-06, 'epoch': 1.11}
{'loss': 0.0043, 'grad_norm': 1.2241579294204712, 'learning_rate': 8.702380952380952e-06, 'epoch': 1.11}
{'loss': 0.0008, 'grad_norm': 0.20970067381858826, 'learning_rate': 8.690476190476192e-06, 'epoch': 1.12}
{'loss': 0.0022, 'grad_norm': 0.5286394953727722, 'learning_rate': 8.67857142857143e-06, 'epoch': 1.12}
{'loss': 0.0009, 'grad_norm': 0.36977478861808777, 'learning_rate': 8.666666666666668e-06, 'epoch': 1.13}
{'loss': 0.0006, 'grad_norm': 0.11654393374919891, 'learning_rate': 8.654761904761906e-06, 'epoch': 1.13}
{'loss': 0.0012, 'grad_norm': 0.3079541325569153, 'learning_rate': 8.642857142857144e-06, 'epoch': 1.14}
{'loss': 0.0035, 'grad_norm': 0.9962379932403564, 'learning_rate': 8.630952380952381e-06, 'epoch': 1.14}
{'loss': 0.0009, 'grad_norm': 0.20439022779464722, 'learning_rate': 8.61904761904762e-06, 'epoch': 1.15}
{'loss': 0.0011, 'grad_norm': 0.33880138397216797, 'learning_rate': 8.607142857142859e-06, 'epoch': 1.15}
{'loss': 0.0006, 'grad_norm': 0.14333400130271912, 'learning_rate': 8.595238095238097e-06, 'epoch': 1.16}
{'loss': 0.0023, 'grad_norm': 0.954390287399292, 'learning_rate': 8.583333333333333e-06, 'epoch': 1.16}
{'loss': 0.0013, 'grad_norm': 0.2660316824913025, 'learning_rate': 8.571428571428571e-06, 'epoch': 1.17}
{'loss': 0.0003, 'grad_norm': 0.07038813084363937, 'learning_rate': 8.55952380952381e-06, 'epoch': 1.18}
{'loss': 0.0012, 'grad_norm': 0.32218003273010254, 'learning_rate': 8.547619047619048e-06, 'epoch': 1.18}
{'loss': 0.0046, 'grad_norm': 2.4940261840820312, 'learning_rate': 8.535714285714286e-06, 'epoch': 1.19}
{'loss': 0.0107, 'grad_norm': 5.6459269523620605, 'learning_rate': 8.523809523809524e-06, 'epoch': 1.19}
