  0%|                                                                              | 0/58195 [00:00<?, ?it/s]/home/ubuntu/ejpark/embed_train/lib/python3.10/site-packages/transformers/tokenization_utils_base.py:2906: UserWarning: `max_length` is ignored when `padding`=`True` and there is no truncation strategy. To pad to max length, use `padding='max_length'`.
  warnings.warn(
Could not estimate the number of tokens of the input, floating-point operations will not be computed
                                                                                                             
{'loss': 0.2273, 'grad_norm': 19.095535278320312, 'learning_rate': 7.2000000000000005e-06, 'epoch': 0.01}
{'loss': 0.3022, 'grad_norm': 29.817258834838867, 'learning_rate': 7.3e-06, 'epoch': 0.01}
{'loss': 0.3797, 'grad_norm': 66.0037841796875, 'learning_rate': 7.4e-06, 'epoch': 0.01}
{'loss': 0.1753, 'grad_norm': 18.9205265045166, 'learning_rate': 7.500000000000001e-06, 'epoch': 0.01}
{'loss': 0.4472, 'grad_norm': 114.54088592529297, 'learning_rate': 7.600000000000001e-06, 'epoch': 0.01}
{'loss': 0.2268, 'grad_norm': 38.43124771118164, 'learning_rate': 7.7e-06, 'epoch': 0.01}
{'loss': 0.1818, 'grad_norm': 25.966341018676758, 'learning_rate': 7.800000000000002e-06, 'epoch': 0.01}
{'loss': 0.2597, 'grad_norm': 16.027820587158203, 'learning_rate': 7.9e-06, 'epoch': 0.01}
{'loss': 0.4247, 'grad_norm': 23.23569679260254, 'learning_rate': 8.000000000000001e-06, 'epoch': 0.01}
{'loss': 0.2547, 'grad_norm': 35.194129943847656, 'learning_rate': 8.1e-06, 'epoch': 0.01}
{'loss': 0.2893, 'grad_norm': 37.00946044921875, 'learning_rate': 8.2e-06, 'epoch': 0.01}
{'loss': 0.5217, 'grad_norm': 36.7921028137207, 'learning_rate': 8.3e-06, 'epoch': 0.01}
{'loss': 0.1638, 'grad_norm': 23.984779357910156, 'learning_rate': 8.400000000000001e-06, 'epoch': 0.01}
{'loss': 0.3835, 'grad_norm': 37.2733268737793, 'learning_rate': 8.5e-06, 'epoch': 0.01}
{'loss': 0.2838, 'grad_norm': 28.73179817199707, 'learning_rate': 8.6e-06, 'epoch': 0.01}
{'loss': 0.2508, 'grad_norm': 26.763145446777344, 'learning_rate': 8.700000000000001e-06, 'epoch': 0.01}
{'loss': 0.22, 'grad_norm': 27.256685256958008, 'learning_rate': 8.8e-06, 'epoch': 0.01}
{'loss': 0.4324, 'grad_norm': 52.2451171875, 'learning_rate': 8.900000000000001e-06, 'epoch': 0.01}
{'loss': 0.2275, 'grad_norm': 17.425121307373047, 'learning_rate': 9e-06, 'epoch': 0.01}
{'loss': 0.1869, 'grad_norm': 12.58537483215332, 'learning_rate': 9.100000000000001e-06, 'epoch': 0.01}
{'loss': 0.3039, 'grad_norm': 22.707138061523438, 'learning_rate': 9.200000000000002e-06, 'epoch': 0.01}
{'loss': 0.3215, 'grad_norm': 27.788557052612305, 'learning_rate': 9.3e-06, 'epoch': 0.01}
{'loss': 0.2594, 'grad_norm': 21.223628997802734, 'learning_rate': 9.4e-06, 'epoch': 0.01}
{'loss': 0.2052, 'grad_norm': 22.243789672851562, 'learning_rate': 9.5e-06, 'epoch': 0.01}
{'loss': 0.1904, 'grad_norm': 18.380298614501953, 'learning_rate': 9.600000000000001e-06, 'epoch': 0.01}
{'loss': 0.1795, 'grad_norm': 15.10047435760498, 'learning_rate': 9.7e-06, 'epoch': 0.01}
{'loss': 0.1924, 'grad_norm': 21.99689483642578, 'learning_rate': 9.800000000000001e-06, 'epoch': 0.01}
{'loss': 0.2648, 'grad_norm': 19.864713668823242, 'learning_rate': 9.9e-06, 'epoch': 0.01}
{'loss': 0.2757, 'grad_norm': 50.52701950073242, 'learning_rate': 1e-05, 'epoch': 0.01}
  warnings.warn(
                                                                                                             
{'loss': 0.1107, 'grad_norm': 8.922273635864258, 'learning_rate': 9.999827868147001e-06, 'epoch': 0.01}
{'loss': 0.1671, 'grad_norm': 32.34830093383789, 'learning_rate': 9.999655736294001e-06, 'epoch': 0.01}
{'loss': 0.2957, 'grad_norm': 29.705900192260742, 'learning_rate': 9.999483604441003e-06, 'epoch': 0.01}
{'loss': 0.253, 'grad_norm': 19.733539581298828, 'learning_rate': 9.999311472588004e-06, 'epoch': 0.01}
{'loss': 0.2444, 'grad_norm': 22.147796630859375, 'learning_rate': 9.999139340735004e-06, 'epoch': 0.01}
{'loss': 0.4531, 'grad_norm': 51.6623649597168, 'learning_rate': 9.998967208882004e-06, 'epoch': 0.01}
{'loss': 0.2721, 'grad_norm': 25.21709632873535, 'learning_rate': 9.998795077029005e-06, 'epoch': 0.01}
{'loss': 0.1906, 'grad_norm': 55.743675231933594, 'learning_rate': 9.998622945176005e-06, 'epoch': 0.01}
{'loss': 0.2493, 'grad_norm': 34.28546905517578, 'learning_rate': 9.998450813323007e-06, 'epoch': 0.01}
{'loss': 0.3169, 'grad_norm': 36.310062408447266, 'learning_rate': 9.998278681470007e-06, 'epoch': 0.01}
{'loss': 0.1248, 'grad_norm': 18.871007919311523, 'learning_rate': 9.998106549617008e-06, 'epoch': 0.01}
{'loss': 0.2927, 'grad_norm': 21.101919174194336, 'learning_rate': 9.997934417764008e-06, 'epoch': 0.01}
{'loss': 0.2885, 'grad_norm': 28.974042892456055, 'learning_rate': 9.99776228591101e-06, 'epoch': 0.01}
{'loss': 0.358, 'grad_norm': 55.40035629272461, 'learning_rate': 9.997590154058008e-06, 'epoch': 0.01}
{'loss': 0.1269, 'grad_norm': 10.858120918273926, 'learning_rate': 9.99741802220501e-06, 'epoch': 0.01}
{'loss': 0.1833, 'grad_norm': 20.665319442749023, 'learning_rate': 9.99724589035201e-06, 'epoch': 0.01}
{'loss': 0.2878, 'grad_norm': 30.042003631591797, 'learning_rate': 9.997073758499011e-06, 'epoch': 0.01}
{'loss': 0.2708, 'grad_norm': 37.765113830566406, 'learning_rate': 9.996901626646011e-06, 'epoch': 0.01}
{'loss': 0.2042, 'grad_norm': 13.356074333190918, 'learning_rate': 9.996729494793013e-06, 'epoch': 0.01}
{'loss': 0.3556, 'grad_norm': 26.44573211669922, 'learning_rate': 9.996557362940012e-06, 'epoch': 0.01}
{'loss': 0.1715, 'grad_norm': 18.202241897583008, 'learning_rate': 9.996385231087014e-06, 'epoch': 0.01}
{'loss': 0.142, 'grad_norm': 13.69071102142334, 'learning_rate': 9.996213099234014e-06, 'epoch': 0.01}
{'loss': 0.2083, 'grad_norm': 13.378047943115234, 'learning_rate': 9.996040967381015e-06, 'epoch': 0.01}
{'loss': 0.145, 'grad_norm': 10.413891792297363, 'learning_rate': 9.995868835528015e-06, 'epoch': 0.01}
{'loss': 0.1308, 'grad_norm': 13.405786514282227, 'learning_rate': 9.995696703675017e-06, 'epoch': 0.01}
{'loss': 0.1655, 'grad_norm': 17.96953010559082, 'learning_rate': 9.995524571822016e-06, 'epoch': 0.01}
{'loss': 0.2075, 'grad_norm': 22.342479705810547, 'learning_rate': 9.995352439969018e-06, 'epoch': 0.01}
{'loss': 0.1756, 'grad_norm': 23.161495208740234, 'learning_rate': 9.995180308116018e-06, 'epoch': 0.01}
{'loss': 0.1773, 'grad_norm': 31.961660385131836, 'learning_rate': 9.995008176263018e-06, 'epoch': 0.01}
{'loss': 0.2647, 'grad_norm': 77.34396362304688, 'learning_rate': 9.994836044410018e-06, 'epoch': 0.01}
{'loss': 0.1917, 'grad_norm': 18.643138885498047, 'learning_rate': 9.99466391255702e-06, 'epoch': 0.01}
{'loss': 0.2226, 'grad_norm': 47.44868087768555, 'learning_rate': 9.994491780704019e-06, 'epoch': 0.01}
{'loss': 0.1212, 'grad_norm': 33.8382453918457, 'learning_rate': 9.994319648851021e-06, 'epoch': 0.01}
{'loss': 0.1544, 'grad_norm': 19.424285888671875, 'learning_rate': 9.994147516998021e-06, 'epoch': 0.01}
{'loss': 0.5193, 'grad_norm': 47.48974609375, 'learning_rate': 9.993975385145022e-06, 'epoch': 0.01}
{'loss': 0.2601, 'grad_norm': 44.00153350830078, 'learning_rate': 9.993803253292022e-06, 'epoch': 0.01}
{'loss': 0.1236, 'grad_norm': 27.530092239379883, 'learning_rate': 9.993631121439024e-06, 'epoch': 0.01}
{'loss': 0.1799, 'grad_norm': 22.7751407623291, 'learning_rate': 9.993458989586023e-06, 'epoch': 0.01}
{'loss': 0.2729, 'grad_norm': 37.113441467285156, 'learning_rate': 9.993286857733025e-06, 'epoch': 0.01}
{'loss': 0.1192, 'grad_norm': 28.665319442749023, 'learning_rate': 9.993114725880025e-06, 'epoch': 0.01}
{'loss': 0.1811, 'grad_norm': 121.27123260498047, 'learning_rate': 9.992942594027025e-06, 'epoch': 0.01}
{'loss': 0.1606, 'grad_norm': 18.755403518676758, 'learning_rate': 9.992770462174026e-06, 'epoch': 0.01}
{'loss': 0.1134, 'grad_norm': 21.85279083251953, 'learning_rate': 9.992598330321028e-06, 'epoch': 0.01}
{'loss': 0.1447, 'grad_norm': 25.06339454650879, 'learning_rate': 9.992426198468028e-06, 'epoch': 0.01}
{'loss': 0.1964, 'grad_norm': 29.02332878112793, 'learning_rate': 9.992254066615028e-06, 'epoch': 0.01}
{'loss': 0.1233, 'grad_norm': 11.424392700195312, 'learning_rate': 9.992081934762028e-06, 'epoch': 0.01}
{'loss': 0.1911, 'grad_norm': 18.074018478393555, 'learning_rate': 9.991909802909029e-06, 'epoch': 0.01}
{'loss': 0.1596, 'grad_norm': 14.295936584472656, 'learning_rate': 9.991737671056029e-06, 'epoch': 0.01}
{'loss': 0.1661, 'grad_norm': 13.790112495422363, 'learning_rate': 9.991565539203031e-06, 'epoch': 0.01}
{'loss': 0.2221, 'grad_norm': 19.363666534423828, 'learning_rate': 9.991393407350031e-06, 'epoch': 0.01}
{'loss': 0.1595, 'grad_norm': 13.265729904174805, 'learning_rate': 9.991221275497032e-06, 'epoch': 0.01}
{'loss': 0.0653, 'grad_norm': 8.565571784973145, 'learning_rate': 9.991049143644032e-06, 'epoch': 0.01}
{'loss': 0.3201, 'grad_norm': 24.78333282470703, 'learning_rate': 9.990877011791032e-06, 'epoch': 0.01}
{'loss': 0.1488, 'grad_norm': 44.99947738647461, 'learning_rate': 9.990704879938034e-06, 'epoch': 0.01}
{'loss': 0.1588, 'grad_norm': 16.97570037841797, 'learning_rate': 9.990532748085035e-06, 'epoch': 0.01}
{'loss': 0.1031, 'grad_norm': 14.732955932617188, 'learning_rate': 9.990360616232035e-06, 'epoch': 0.01}
{'loss': 0.0885, 'grad_norm': 10.334752082824707, 'learning_rate': 9.990188484379035e-06, 'epoch': 0.01}
{'loss': 0.2191, 'grad_norm': 34.89406204223633, 'learning_rate': 9.990016352526036e-06, 'epoch': 0.01}
{'loss': 0.1732, 'grad_norm': 17.799158096313477, 'learning_rate': 9.989844220673036e-06, 'epoch': 0.01}
{'loss': 0.0408, 'grad_norm': 6.199410915374756, 'learning_rate': 9.989672088820038e-06, 'epoch': 0.01}
{'loss': 0.0619, 'grad_norm': 9.743524551391602, 'learning_rate': 9.989499956967038e-06, 'epoch': 0.01}
{'loss': 0.1579, 'grad_norm': 21.405424118041992, 'learning_rate': 9.989327825114038e-06, 'epoch': 0.01}
{'loss': 0.0973, 'grad_norm': 19.683677673339844, 'learning_rate': 9.989155693261039e-06, 'epoch': 0.01}
{'loss': 0.044, 'grad_norm': 6.273743152618408, 'learning_rate': 9.988983561408039e-06, 'epoch': 0.01}
{'loss': 0.5777, 'grad_norm': 61.55831527709961, 'learning_rate': 9.98881142955504e-06, 'epoch': 0.01}
{'loss': 0.0349, 'grad_norm': 7.217835903167725, 'learning_rate': 9.988639297702041e-06, 'epoch': 0.01}
{'loss': 0.1988, 'grad_norm': 46.14756774902344, 'learning_rate': 9.98846716584904e-06, 'epoch': 0.01}
{'loss': 0.1141, 'grad_norm': 16.91094398498535, 'learning_rate': 9.988295033996042e-06, 'epoch': 0.01}
{'loss': 0.1168, 'grad_norm': 14.467264175415039, 'learning_rate': 9.988122902143042e-06, 'epoch': 0.01}
{'loss': 0.0237, 'grad_norm': 6.26396369934082, 'learning_rate': 9.987950770290043e-06, 'epoch': 0.01}
{'loss': 0.1449, 'grad_norm': 22.398418426513672, 'learning_rate': 9.987778638437043e-06, 'epoch': 0.01}
{'loss': 0.1886, 'grad_norm': 36.703369140625, 'learning_rate': 9.987606506584045e-06, 'epoch': 0.01}
{'loss': 0.2208, 'grad_norm': 25.668394088745117, 'learning_rate': 9.987434374731043e-06, 'epoch': 0.01}
{'loss': 0.1245, 'grad_norm': 12.623963356018066, 'learning_rate': 9.987262242878045e-06, 'epoch': 0.01}
{'loss': 0.1368, 'grad_norm': 27.481103897094727, 'learning_rate': 9.987090111025046e-06, 'epoch': 0.02}
{'loss': 0.154, 'grad_norm': 16.834407806396484, 'learning_rate': 9.986917979172046e-06, 'epoch': 0.02}
{'loss': 0.1082, 'grad_norm': 15.815420150756836, 'learning_rate': 9.986745847319046e-06, 'epoch': 0.02}
{'loss': 0.0592, 'grad_norm': 5.150759696960449, 'learning_rate': 9.986573715466048e-06, 'epoch': 0.02}
{'loss': 0.0841, 'grad_norm': 10.567976951599121, 'learning_rate': 9.986401583613049e-06, 'epoch': 0.02}
{'loss': 0.09, 'grad_norm': 15.215890884399414, 'learning_rate': 9.986229451760049e-06, 'epoch': 0.02}
{'loss': 0.0902, 'grad_norm': 10.445730209350586, 'learning_rate': 9.98605731990705e-06, 'epoch': 0.02}
{'loss': 0.235, 'grad_norm': 24.271240234375, 'learning_rate': 9.98588518805405e-06, 'epoch': 0.02}
{'loss': 0.0883, 'grad_norm': 13.305118560791016, 'learning_rate': 9.98571305620105e-06, 'epoch': 0.02}
{'loss': 0.1481, 'grad_norm': 16.115108489990234, 'learning_rate': 9.985540924348052e-06, 'epoch': 0.02}
{'loss': 0.2034, 'grad_norm': 33.69169235229492, 'learning_rate': 9.985368792495052e-06, 'epoch': 0.02}
{'loss': 0.1938, 'grad_norm': 23.3983154296875, 'learning_rate': 9.985196660642053e-06, 'epoch': 0.02}
{'loss': 0.2155, 'grad_norm': 49.729881286621094, 'learning_rate': 9.985024528789053e-06, 'epoch': 0.02}
{'loss': 0.052, 'grad_norm': 10.636438369750977, 'learning_rate': 9.984852396936053e-06, 'epoch': 0.02}
{'loss': 0.1027, 'grad_norm': 14.527216911315918, 'learning_rate': 9.984680265083055e-06, 'epoch': 0.02}
{'loss': 0.0677, 'grad_norm': 19.198348999023438, 'learning_rate': 9.984508133230055e-06, 'epoch': 0.02}
{'loss': 0.0762, 'grad_norm': 14.42359733581543, 'learning_rate': 9.984336001377056e-06, 'epoch': 0.02}
{'loss': 0.367, 'grad_norm': 194.94097900390625, 'learning_rate': 9.984163869524056e-06, 'epoch': 0.02}
{'loss': 0.0384, 'grad_norm': 9.1422758102417, 'learning_rate': 9.983991737671056e-06, 'epoch': 0.02}
{'loss': 0.1708, 'grad_norm': 37.63248825073242, 'learning_rate': 9.983819605818057e-06, 'epoch': 0.02}
{'loss': 0.1284, 'grad_norm': 29.581905364990234, 'learning_rate': 9.983647473965059e-06, 'epoch': 0.02}
{'loss': 0.2195, 'grad_norm': 140.38894653320312, 'learning_rate': 9.983475342112059e-06, 'epoch': 0.02}
{'loss': 0.1419, 'grad_norm': 22.702529907226562, 'learning_rate': 9.98330321025906e-06, 'epoch': 0.02}
{'loss': 0.1096, 'grad_norm': 16.133033752441406, 'learning_rate': 9.98313107840606e-06, 'epoch': 0.02}
{'loss': 0.2436, 'grad_norm': 36.159706115722656, 'learning_rate': 9.98295894655306e-06, 'epoch': 0.02}
{'loss': 0.0884, 'grad_norm': 25.379899978637695, 'learning_rate': 9.98278681470006e-06, 'epoch': 0.02}
  warnings.warn(
                                                                                                             
{'loss': 0.1308, 'grad_norm': 20.247495651245117, 'learning_rate': 9.982614682847062e-06, 'epoch': 0.02}
{'loss': 0.1242, 'grad_norm': 14.951681137084961, 'learning_rate': 9.982442550994063e-06, 'epoch': 0.02}
{'loss': 0.1751, 'grad_norm': 26.197566986083984, 'learning_rate': 9.982270419141063e-06, 'epoch': 0.02}
{'loss': 0.1307, 'grad_norm': 27.90694808959961, 'learning_rate': 9.982098287288063e-06, 'epoch': 0.02}
{'loss': 0.0712, 'grad_norm': 800.8382568359375, 'learning_rate': 9.981926155435065e-06, 'epoch': 0.02}
{'loss': 0.0503, 'grad_norm': 20.217742919921875, 'learning_rate': 9.981754023582064e-06, 'epoch': 0.02}
{'loss': 0.1249, 'grad_norm': 17.97926902770996, 'learning_rate': 9.981581891729066e-06, 'epoch': 0.02}
{'loss': 0.1183, 'grad_norm': 28.466880798339844, 'learning_rate': 9.981409759876066e-06, 'epoch': 0.02}
{'loss': 0.0807, 'grad_norm': 16.72113037109375, 'learning_rate': 9.981237628023066e-06, 'epoch': 0.02}
{'loss': 0.1431, 'grad_norm': 19.67333984375, 'learning_rate': 9.981065496170067e-06, 'epoch': 0.02}
{'loss': 0.1161, 'grad_norm': 16.70275115966797, 'learning_rate': 9.980893364317069e-06, 'epoch': 0.02}
{'loss': 0.1486, 'grad_norm': 27.05394172668457, 'learning_rate': 9.980721232464067e-06, 'epoch': 0.02}
{'loss': 0.1618, 'grad_norm': 26.816682815551758, 'learning_rate': 9.98054910061107e-06, 'epoch': 0.02}
{'loss': 0.0965, 'grad_norm': 13.044764518737793, 'learning_rate': 9.98037696875807e-06, 'epoch': 0.02}
{'loss': 0.0974, 'grad_norm': 12.910340309143066, 'learning_rate': 9.98020483690507e-06, 'epoch': 0.02}
{'loss': 0.0945, 'grad_norm': 13.35422134399414, 'learning_rate': 9.98003270505207e-06, 'epoch': 0.02}
{'loss': 0.1005, 'grad_norm': 17.290794372558594, 'learning_rate': 9.979860573199072e-06, 'epoch': 0.02}
{'loss': 0.2314, 'grad_norm': 22.232833862304688, 'learning_rate': 9.97968844134607e-06, 'epoch': 0.02}
{'loss': 0.0437, 'grad_norm': 7.502261638641357, 'learning_rate': 9.979516309493073e-06, 'epoch': 0.02}
{'loss': 0.0901, 'grad_norm': 14.152052879333496, 'learning_rate': 9.979344177640073e-06, 'epoch': 0.02}
{'loss': 0.0434, 'grad_norm': 8.707425117492676, 'learning_rate': 9.979172045787073e-06, 'epoch': 0.02}
{'loss': 0.2135, 'grad_norm': 37.932003021240234, 'learning_rate': 9.978999913934074e-06, 'epoch': 0.02}
{'loss': 0.1044, 'grad_norm': 639.698486328125, 'learning_rate': 9.978827782081076e-06, 'epoch': 0.02}
{'loss': 0.0922, 'grad_norm': 21.987712860107422, 'learning_rate': 9.978655650228074e-06, 'epoch': 0.02}
{'loss': 0.0418, 'grad_norm': 9.698648452758789, 'learning_rate': 9.978483518375076e-06, 'epoch': 0.02}
{'loss': 0.0624, 'grad_norm': 33.652587890625, 'learning_rate': 9.978311386522077e-06, 'epoch': 0.02}
